question,expected_answer,model_response,correctness_score,correctness_reason,mlflow_trace_id,mlflow_trace_url,retrieved_documents
"Sau 2 năm đi làm ăn xa, anh Độ trở về quê thì được biết tin anh Mạnh đã mất cách đây hơn 1 năm. Trước khi đi làm, anh Độ đã cho anh Mạnh vay 20 triệu đồng bằng hợp đồng viết tay và có người làm chứng. Anh Độ muốn hỏi, mình có thể khởi kiện yêu cầu những người thừa kế của anh Mạnh phải thực hiện nghĩa vụ trả nợ được không? Pháp luật quy định như thế nào về việc thực hiện nghĩa vụ tài sản do người chết để lại?","Khoản 3 Điều 623 Bộ luật dân sự 2015 có quy định, thời hiệu yêu cầu người thừa kế thực hiện nghĩa vụ về tài sản của người chết để lại là 03 năm, kể từ thời điểm mở thừa kế.
Do anh Mạnh mất được hơn 1 năm nên thời hiệu khởi kiện của anh Độ vẫn còn, vì vậy, nếu sự việc anh Mạnh vay anh Độ 20 triệu nhưng chưa trả là thật thì anh Độ có thể khởi kiện yêu cầu những người thừa kế của anh Mạnh thực hiện nghĩa vụ trả 20 triệu đồng thay anh Mạnh.
Về thực hiện nghĩa vụ tài sản do người chết để lại, Điều 615 Bộ luật dân sự 2015 có quy định:
i) Những người hưởng thừa kế có trách nhiệm thực hiện nghĩa vụ tài sản trong phạm vi di sản do người chết để lại, trừ trường hợp có thỏa thuận khác.
ii) Trường hợp di sản chưa được chia thì nghĩa vụ tài sản do người chết để lại được người quản lý di sản thực hiện theo thỏa thuận của những người thừa kế trong phạm vi di sản do người chết để lại.
iii) Trường hợp di sản đã được chia thì mỗi người thừa kế thực hiện nghĩa vụ tài sản do người chết để lại tương ứng nhưng không vượt quá phần tài sản mà mình đã nhận, trừ trường hợp có thỏa thuận khác.
iv) Trường hợp người thừa kế không phải là cá nhân hưởng di sản theo di chúc thì cũng phải thực hiện nghĩa vụ tài sản do người chết để lại như người thừa kế là cá nhân.","Dựa trên bối cảnh được cung cấp, anh Độ có thể yêu cầu những người thừa kế của anh Mạnh thực hiện nghĩa vụ trả nợ dựa trên điểm sau:

Theo quy định, thời hiệu yêu cầu người thừa kế thực hiện nghĩa vụ về tài sản của người chết để lại là 03 năm, kể từ thời điểm mở thừa kế. Trong trường hợp của anh Độ, anh Mạnh đã mất hơn 1 năm trước, do đó anh Độ vẫn còn trong thời hạn 03 năm để yêu cầu những người thừa kế của anh Mạnh thực hiện nghĩa vụ trả nợ đối với số tiền 20 triệu đồng mà anh Mạnh đã vay.

Anh Độ nên chuẩn bị đầy đủ bằng chứng về việc cho vay, cụ thể là hợp đồng viết tay và các nhân chứng (nếu có), để nộp lên tòa án khi cần thiết để củng cố yêu cầu của mình.",pass,"The model response correctly summarizes the legal position regarding the obligation of heirs to settle debts of the deceased, cites relevant articles from the Civil Code, and confirms that the time limit for making a claim is still valid. Additionally, it advises on preparing evidence, aligning well with the expected answer.",N/A,N/A,[]
"Xin cho biết, pháp luật dân sự quy định như thế nào về nghĩa vụ tôn trọng, bảo đảm trật tự, an toàn xã hội của chủ sở hữu?","Theo quy định tại Điều 173 Bộ luật dân sự năm 2015 thì khi thực hiện quyền sở hữu, quyền khác đối với tài sản thì chủ thể phải tôn trọng, bảo đảm trật tự, an toàn xã hội, không được lạm dụng quyền để gây mất trật tự, an toàn xã hội, làm thiệt hại đến lợi ích quốc gia, dân tộc, lợi ích công cộng, quyền, lợi ích hợp pháp của người khác.
Do vậy, chủ sở hữu được thực hiện mọi hành vi theo ý chí của mình đối với tài sản, nhưng không được làm thiệt hại và ảnh hưởng đến lợi ích của Nhà nước, lợi ích của cộng đồng, quyền và lợi ích hợp pháp của người khác.
Nếu trong quá trình thực hiện quyền sở hữu của mình, chủ sở hữu vi phạm các quy định của pháp luật về trật tự, an toàn xã hội như chiếm hữu, sử dụng, định đoạt tài sản gây tiếng ồn quá mức, gây mất trật tự công cộng, vi phạm các quy tắc xử sự tại nơi công cộng thì tùy theo tính chất và mức độ vi phạm, chủ sở hữu phải chịu trách nhiệm hành chính hoặc trách nhiệm hình sự theo quy định của pháp luật. Ngoài ra nếu các hành vi kể trên còn gây thiệt hại thì chủ sở hữu tài sản còn phải chịu trách nhiệm bồi thường thiệt hại.","Pháp luật dân sự quy định rằng khi thực hiện quyền sở hữu và các quyền khác đối với tài sản, chủ sở hữu phải tôn trọng và bảo đảm trật tự, an toàn xã hội. Họ không được lạm dụng quyền của mình để gây mất trật tự, an toàn xã hội hoặc làm thiệt hại đến lợi ích quốc gia, dân tộc, lợi ích công cộng, cũng như quyền và lợi ích hợp pháp của người khác.",pass,"The model response contains key information from the expected answer regarding the owner's obligations to respect social order and safety, and it accurately reflects the legal framework without missing any critical points. However, it does not mention the consequences of violations which were included in the expected answer.",N/A,N/A,[]
"Anh A và anh B có mua hai mảnh đất ở cạnh nhau. Năm 2010, để tiết kiệm diện tích, chi phí nên khi xây nhà, hai anh thống nhất xây chung vách tường ở giữa 2 căn nhà. Vừa qua, anh B đã xây thêm 01 tầng nữa nhưng lại xây chồng và lấn lên toàn bộ vách tường chung. Hỏi hành vi đó của anh B có vi phạm pháp luật không?","Theo quy định tại Điều 175 Bộ luật dân sự năm 2015 thì không được lấn, chiếm, thay đổi mốc giới ngăn cách, kể cả trường hợp ranh giới là kênh, mương, hào, rãnh, bờ ruộng; mọi chủ thể có nghĩa vụ tôn trọng, duy trì ranh giới chung. Người sử dụng đất được sử dụng không gian và lòng đất theo chiều thẳng đứng từ ranh giới của thửa đất phù hợp với quy định của pháp luật và không được làm ảnh hưởng đến việc sử dụng đất của người khác.
Đồng thời, cũng theo quy định tại Điều 176 Bộ luật dân sự năm 2015 thì đối với mốc giới là tường nhà chung, chủ sở hữu bất động sản liền kề không được trổ cửa sổ, lỗ thông khí hoặc đục tường để đặt kết cấu xây dựng, trừ trường hợp được chủ sở hữu bất động sản liền kề đồng ý.
Do vậy, trong trường hợp này, anh B đã có hành vi xây lấn mốc giới ngăn cách giữa 2 căn nhà (xây lấn cả vách tường chung) nên đã vi phạm nghĩa vụ tôn trọng ranh giới giữa các bất động sản.","Hành vi của anh B đã vi phạm pháp luật. Theo quy định trong ngữ cảnh được cung cấp, khi hai căn nhà có chung một vách tường, mỗi chủ sở hữu chỉ được phép xây dựng trong phần diện tích của mình và không được xâm phạm đến bất động sản liền kề. Việc anh B xây thêm một tầng và lấn lên toàn bộ vách tường chung mà không có sự đồng ý của anh A là vi phạm nghĩa vụ tôn trọng quy tắc xây dựng và xâm phạm quyền, lợi ích hợp pháp của anh A, là chủ sở hữu của bất động sản liền kề.",pass,"The model response accurately addresses the legal violation by anh B regarding the common wall and provides relevant legal context from the provided information, confirming that the response sufficiently matches the expected answer.",N/A,N/A,[]
"Vợ chồng ông bà X không may qua đời vì bị tai nạn giao thông. Tài sản ông bà để lại gồm 01 căn nhà 5 tầng, 01 sổ tiết kiệm trị giá 50 triệu đồng và hai chiếc xe máy. Các con ông bà X muốn hỏi, thời điểm và địa điểm mở thừa kế tài sản của bố mẹ họ được xác định như thế nào?","Theo quy định tại khoản 1 Điều 611 Bộ luật dân sự 2015 thì thời điểm mở thừa kế là thời điểm người có tài sản chết. Trường hợp Tòa án tuyên bố một người là đã chết thì thời điểm mở thừa kế là ngày được xác định tại khoản 2 Điều 71 của Bộ luật dân sự.
Tại khoản 2 Điều 71 Bộ luật dân sự quy định, tùy từng trường hợp, Tòa án xác định ngày chết của người bị tuyên bố là đã chết, cụ thể:
- Sau 03 năm, kể từ ngày quyết định tuyên bố mất tích của Tòa án có hiệu lực pháp luật mà vẫn không có tin tức xác thực là còn sống.
- Biệt tích trong chiến tranh sau 05 năm, kể từ ngày chiến tranh kết thúc mà vẫn không có tin tức xác thực là còn sống.
- Bị tai nạn hoặc thảm họa, thiên tai mà sau 02 năm, kể từ ngày tai nạn hoặc thảm hoạ, thiên tai đó chấm dứt vẫn không có tin tức xác thực là còn sống.
- Biệt tích 05 năm liền trở lên và không có tin tức xác thực là còn sống.
Về địa điểm mở thừa kế, khoản 2 Điều 611 Bộ luật dân sự 2015 quy định là nơi cư trú cuối cùng của người để lại di sản; nếu không xác định được nơi cư trú cuối cùng thì địa điểm mở thừa kế là nơi có toàn bộ di sản hoặc nơi có phần lớn di sản.","Thời điểm mở thừa kế tài sản của ông bà X được xác định là thời điểm ông bà X qua đời do tai nạn giao thông. Địa điểm mở thừa kế sẽ là nơi cư trú cuối cùng của ông bà X. Nếu không xác định được nơi cư trú cuối cùng, địa điểm mở thừa kế sẽ là nơi có toàn bộ di sản hoặc nơi có phần lớn di sản của ông bà X.",pass,"The model response correctly identifies the time of inheritance opening as the time of death due to the traffic accident and also mentions the location of inheritance as the last residence of the deceased, which aligns with the expected answer's legal references.",N/A,N/A,[]
Pháp luật quy định như thế nào về điều kiện có hiệu lực của giao dịch dân sự?,"Giao dịch dân sự được hình thành dựa theo sự thỏa thuận và thống nhất ý chí của các bên chủ thể. Tuy nhiên, không phải giao dịch nào có sự thỏa thuận, thống nhất ý chí của chủ thể cũng làm phát sinh quyền, nghĩa vụ của chủ thể tham gia giao dịch. Điều kiện có hiệu lực của giao dịch dân sự được quy định tại Điều 117 Bộ luật dân sự năm 2015, theo đó, một giao dịch dân sự có hiệu lực khi đáp ứng đầy đủ các điều kiện sau:
- Chủ thể có năng lực pháp luật dân sự, năng lực hành vi dân sự phù hợp với giao dịch dân sự được xác lập.
- Chủ thể tham gia giao dịch dân sự hoàn toàn tự nguyện.
- Mục đích và nội dung của giao dịch dân sự không vi phạm điều cấm của luật, không trái đạo đức xã hội.
Hình thức của giao dịch dân sự là điều kiện có hiệu lực của giao dịch dân sự trong trường hợp luật có quy định. Theo Điều 119 Bộ luật dân sự năm 2015 thì giao dịch dân sự được thể hiện bằng lời nói, bằng văn bản hoặc bằng hành vi cụ thể. Giao dịch dân sự thông qua phương tiện điện tử dưới hình thức thông điệp dữ liệu theo quy định của pháp luật về giao dịch điện tử được coi là giao dịch bằng văn bản.","Pháp luật quy định rằng giao dịch dân sự có thể được công nhận hiệu lực ngay cả khi vi phạm quy định bắt buộc về công chứng, chứng thực, với điều kiện một bên hoặc các bên đã thực hiện ít nhất hai phần ba nghĩa vụ trong giao dịch. Trong trường hợp này, theo yêu cầu của một bên hoặc các bên, Tòa án có thể ra quyết định công nhận hiệu lực của giao dịch đó và các bên không cần phải thực hiện thêm việc công chứng, chứng thực.",fail,"The model response incorrectly states that a civil transaction can still be recognized as valid even if it violates mandatory notarization requirements, which is not aligned with the clear conditions for validity outlined in the expected answer. Moreover, it fails to address the specific conditions for validity as outlined in the Civil Code 2015, thereby not adequately answering the question.",N/A,N/A,[]
"X cho Y thuê nhà với giá 05 triệu đồng/tháng với thời hạn 01 năm. Sau thời hạn này bên Y phải trả lại nhà thuê cho bên X. Sau 01 năm, X đòi lại nhà nhưng Y không chịu trả. Trong trường hợp này thì X có những phương thức gì để bảo vệ quyền lợi của mình?","Để thống nhất trong điều chỉnh pháp luật về phương thức bảo vệ quyền và để tạo cơ chế pháp lý cho cá nhân, pháp nhân lựa chọn phương thức bảo vệ quyền dân sự, Bộ luật dân sự năm 2015 quy định cụ thể, khi quyền dân sự của cá nhân, pháp nhân bị xâm phạm thì chủ thể đó có quyền:
- Tự bảo vệ theo quy định của Bộ luật dân sự, luật khác có liên quan. Việc tự bảo vệ quyền phải phù hợp với tính chất, mức độ xâm phạm đến quyền dân sự đó và không được trái với các nguyên tắc cơ bản của pháp luật dân sự.
- Hoặc yêu cầu cơ quan, tổ chức có thẩm quyền thực hiện các biện pháp: Công nhận, tôn trọng, bảo vệ và bảo đảm quyền dân sự; buộc chấm dứt hành vi xâm phạm; buộc xin lỗi, cải chính công khai; buộc thực hiện nghĩa vụ; buộc bồi thường thiệt hại; hủy quyết định cá biệt trái pháp luật của cơ quan, tổ chức, người có thẩm quyền; yêu cầu khác theo quy định của luật.
Đối chiếu với các quy định trên thì X có quyền buộc Y thực hiện nghĩa vụ trả lại nhà, nếu việc chậm trả nhà của Y gây thiệt hại cho X thì X còn có quyền yêu cầu Y bồi thường thiệt hại. X có thể sử dụng các phương thức giải quyết tranh chấp hợp đồng hiện nay như: thương lượng, hòa giải, trọng tài hoặc Tòa án để bảo vệ quyền lợi của mình.","Trong trường hợp này, X có thể áp dụng các phương thức sau đây để bảo vệ quyền lợi của mình:

1. **Yêu cầu trả lại tài sản thuê:** Theo quy định trong ngữ cảnh, X có quyền yêu cầu Y trả lại nhà thuê sau khi thời hạn thuê đã kết thúc (1 năm trong trường hợp này). Việc giữ lại tài sản không hợp pháp sau khi thời hạn thuê đã hết có thể là cơ sở để X yêu cầu Y trả lại nhà.

2. **Yêu cầu thanh toán tiền thuê và bồi thường thiệt hại:** Nếu trong quá trình tranh chấp, Y vẫn chiếm giữ nhà vượt quá thời hạn thuê, X có thể yêu cầu Y tiếp tục trả tiền thuê nhà cho những tháng mà Y giữ nhà sau thời hạn và có thể yêu cầu bồi thường thiệt hại phát sinh do việc chậm trả tài sản thuê.

3. **Liên hệ cơ quan có thẩm quyền:** Nếu Y không tự nguyện trả lại nhà, X có thể khởi kiện yêu cầu tòa án giải quyết tranh chấp này. Tòa án có thể ra phán quyết buộc Y trả lại nhà cho X và xử lý các vấn đề liên quan đến bồi thường thiệt hại nếu có.

4. **Thương lượng và hòa giải:** Nếu có thể, X nên xem xét thương lượng hoặc tìm cách hòa giải với Y trước khi đưa vụ việc ra tòa. Đây có thể là cách tiếp cận nhanh và ít tốn kém hơn để giải quyết tranh chấp.

Những phương thức này giúp X bảo vệ quyền lợi của mình trong trường hợp Y không chịu trả lại nhà sau khi thời hạn thuê đã hết.",pass,"The model response contains key information such as methods for X to protect their rights, factually discusses the legal mechanisms available under civil law, and adequately addresses the question with practical steps for resolution.",N/A,N/A,[]
"Xin hỏi, pháp luật quy định như thế nào về điều kiện của người lập di chúc?","Theo Điều 625 và điểm a khoản 1 Điều 630 Bộ luật dân sự 2015 thì người lập di chúc phải có điều kiện như sau:
- Người lập di chúc phải là người thành niên; khi lập di chúc phải minh mẫn, sáng suốt; không bị lừa dối, đe doạ, cưỡng ép có quyền lập di chúc để định đoạt tài sản của mình.
- Nếu người lập di chúc từ đủ mười lăm tuổi đến chưa đủ mười tám tuổi thì phải được cha, mẹ hoặc người giám hộ đồng ý về việc lập di chúc.","Pháp luật quy định về điều kiện của người lập di chúc như sau:

1. Người lập di chúc phải minh mẫn, sáng suốt trong khi lập di chúc; không bị lừa dối, đe dọa, cưỡng ép.
2. Nội dung của di chúc không được vi phạm điều cấm của luật, không trái đạo đức xã hội.
3. Hình thức di chúc không được trái quy định của luật.",fail,"The model response does not include all key information from the expected answer, specifically the age requirement and parental consent for individuals aged 15-17, making it incomplete and therefore factually inaccurate based on the context.",N/A,N/A,[]
"H là người nghiện ma túy lâu năm, mỗi khi không có tiền mua ma túy, H thường mang tài sản của gia đình đi bán. Vậy, H có thể bị Tòa án tuyên bố là người bị hạn chế năng lực hành vi dân sự hay không?","Theo Điều 24 Bộ luật dân sự thì một cá nhân bị coi là hạn chế năng lực hành vi dân sự phải đáp ứng các điều kiện do luật định. Cụ thể là: Người nghiện ma túy, nghiện các chất kích thích khác dẫn đến phá tán tài sản của gia đình thì theo yêu cầu của người có quyền, lợi ích liên quan hoặc của cơ quan, tổ chức hữu quan, Tòa án có thể ra quyết định tuyên bố người này là người bị hạn chế năng lực hành vi dân sự.
Tòa án quyết định người đại diện theo pháp luật của người bị hạn chế năng lực hành vi dân sự và phạm vi đại diện.
Việc xác lập, thực hiện giao dịch dân sự liên quan đến tài sản của người bị Tòa án tuyên bố hạn chế năng lực hành vi dân sự phải có sự đồng ý của người đại diện theo pháp luật, trừ giao dịch nhằm phục vụ nhu cầu sinh hoạt hàng ngày hoặc luật liên quan có quy định khác.
Khi không còn căn cứ tuyên bố một người bị hạn chế năng lực hành vi dân sự thì theo yêu cầu của chính người đó hoặc của người có quyền, lợi ích liên quan hoặc của cơ quan, tổ chức hữu quan, Tòa án ra quyết định huỷ bỏ quyết định tuyên bố hạn chế năng lực hành vi dân sự.
Đối chiếu với quy định trên thì H có thể bị Tòa án tuyên bố là người bị hạn chế năng lực hành vi dân sự nếu có đơn yêu cầu của gia đình H.","Dựa trên ngữ cảnh đã cung cấp, H có thể bị Tòa án tuyên bố là người bị hạn chế năng lực hành vi dân sự. Theo thông tin trong ngữ cảnh, người nghiện ma túy dẫn đến phá tán tài sản của gia đình thì Tòa án có thể ra quyết định tuyên bố người này là người bị hạn chế năng lực hành vi dân sự theo yêu cầu của người có quyền, lợi ích liên quan hoặc của cơ quan, tổ chức hữu quan.",pass,"The model response contains the key information from the expected answer and accurately reflects the legal framework provided. It addresses the question about H's potential legal status based on the criteria established in the Civil Code, matching the requirements for the declaration of limited civil capacity due to drug addiction.",N/A,N/A,[]
Trong những trường hợp nào thì được xác định là chiếm hữu có căn cứ pháp luật?,"Theo khoản 1 Điều 165 Bộ luật dân sự năm 2015, chiếm hữu có căn cứ pháp luật là việc chiếm hữu tài sản trong các trường hợp sau đây:
- Chủ sở hữu chiếm hữu tài sản.
- Người được chủ sở hữu ủy quyền quản lý tài sản.
- Người được chuyển giao quyền chiếm hữu thông qua giao dịch dân sự phù hợp với quy định của pháp luật.
- Người phát hiện và giữ tài sản vô chủ, tài sản không được xác định được ai là chủ sở hữu, tài sản bị đánh rơi, bị bỏ quên, bị chôn, giấu, bị vùi lấp, chìm đắm phù hợp với điều kiện theo quy định của Bộ luật này, quy định khác của pháp luật có liên quan.
- Người phát hiện và giữ gia súc, gia cầm, vật nuôi dưới nước bị thất lạc phù hợp với điều kiện theo quy định của Bộ luật này, quy định khác của pháp luật có liên quan.
- Trường hợp khác do pháp luật quy định.","Theo bối cảnh được cung cấp, không có định nghĩa rõ ràng về những trường hợp nào được xác định là chiếm hữu có căn cứ pháp luật. Tuy nhiên, một số nguyên tắc chung có thể áp dụng để xác định chiếm hữu có thể bao gồm:

1. **Người chiếm hữu ngay tình, liên tục, công khai**: Đây là trường hợp mà người chiếm hữu thực sự tin rằng mình có quyền chiếm hữu tài sản, và việc chiếm hữu này diễn ra liên tục và công khai mà không có sự phản đối từ bên thứ ba.

2. **Thực hiện theo thỏa thuận hợp pháp**: Việc chiếm hữu và sử dụng tài sản có thể được xác nhận là có căn cứ pháp luật nếu được thực hiện dựa trên một thỏa thuận hợp pháp, chẳng hạn như một hợp đồng mua bán, thuê, hoặc ủy quyền.

3. **Bảo vệ qua quyết định của cơ quan có thẩm quyền**: Nếu việc chiếm hữu được bảo vệ hoặc công nhận bởi một quyết định của tòa án hoặc cơ quan nhà nước có thẩm quyền, thì đó cũng có thể được coi là chiếm hữu có căn cứ pháp luật.

Các trường hợp này cần phải xem xét trong bối cảnh cụ thể của luật pháp liên quan và các điều khoản áp dụng của Bộ luật Dân sự hay các luật khác có liên quan.",fail,"The model response does not include the specific key information from the expected answer which lists clear cases of legitimate possession as per the Civil Code, and it lacks factual accuracy because it fails to cite the legal references and specific conditions outlined in the expected answer.",N/A,N/A,[]
Pháp luật quy định như thế nào về hậu quả pháp lý của giao dịch dân sự vô hiệu?,"Điều 131 Bộ luật dân sự năm 2015 quy định những hậu quả pháp lý của giao dịch dân sự vô hiệu, bao gồm:
1. Giao dịch dân sự vô hiệu không làm phát sinh, thay đổi, chấm dứt quyền, nghĩa vụ dân sự của các bên kể từ thời điểm giao dịch được xác lập.
2. Khi giao dịch dân sự vô hiệu thì các bên khôi phục lại tình trạng ban đầu, hoàn trả cho nhau những gì đã nhận. Trường hợp không thể hoàn trả được bằng hiện vật thì trị giá thành tiền để hoàn trả.
3. Bên ngay tình trong việc thu hoa lợi, lợi tức không phải hoàn trả lại hoa lợi, lợi tức đó.
4. Bên có lỗi gây thiệt hại thì phải bồi thường.
5. Việc giải quyết hậu quả của giao dịch dân sự vô hiệu liên quan đến quyền nhân thân do Bộ luật này, luật khác có liên quan quy định.","Pháp luật quy định rằng việc giải quyết hậu quả của giao dịch dân sự vô hiệu liên quan đến quyền nhân thân sẽ do Bộ luật Dân sự và các luật khác có liên quan quy định. Điều này có nghĩa là các văn bản luật cụ thể sẽ xác định các bước và biện pháp cần thiết để xử lý tình trạng vô hiệu của giao dịch dân sự, tùy thuộc vào từng trường hợp cụ thể.",fail,"The model response only partially addresses the expected answer, failing to provide key details about the consequences of void civil transactions as outlined in Điều 131 of the Bộ luật dân sự. It mentions that legal consequences are governed by relevant laws but does not summarize the specific consequences listed in the expected answer. Therefore, it does not adequately address the question.",N/A,N/A,[]
